GAS_ZONES,TIMESERIES,LNG_import_ref_quantity
AL,20220101,0
AL,20220102,0
AL,20220103,0
AL,20220104,0
AL,20220105,0
AL,20220106,0
AL,20220107,0
AL,20220108,0
AL,20220109,0
AL,20220110,0
AL,20220111,0
AL,20220112,0
AL,20220113,0
AL,20220114,0
AL,20220115,0
AL,20220116,0
AL,20220117,0
AL,20220118,0
AL,20220119,0
AL,20220120,0
AL,20220121,0
AL,20220122,0
AL,20220123,0
AL,20220124,0
AL,20220125,0
AL,20220126,0
AL,20220127,0
AL,20220128,0
AL,20220129,0
AL,20220130,0
AL,20220131,0
AL,20220201,0
AL,20220202,0
AL,20220203,0
AL,20220204,0
AL,20220205,0
AL,20220206,0
AL,20220207,0
AL,20220208,0
AL,20220209,0
AL,20220210,0
AL,20220211,0
AL,20220212,0
AL,20220213,0
AL,20220214,0
AL,20220215,0
AL,20220216,0
AL,20220217,0
AL,20220218,0
AL,20220219,0
AL,20220220,0
AL,20220221,0
AL,20220222,0
AL,20220223,0
AL,20220224,0
AL,20220225,0
AL,20220226,0
AL,20220227,0
AL,20220228,0
AL,20220301,0
AL,20220302,0
AL,20220303,0
AL,20220304,0
AL,20220305,0
AL,20220306,0
AL,20220307,0
AL,20220308,0
AL,20220309,0
AL,20220310,0
AL,20220311,0
AL,20220312,0
AL,20220313,0
AL,20220314,0
AL,20220315,0
AL,20220316,0
AL,20220317,0
AL,20220318,0
AL,20220319,0
AL,20220320,0
AL,20220321,0
AL,20220322,0
AL,20220323,0
AL,20220324,0
AL,20220325,0
AL,20220326,0
AL,20220327,0
AL,20220328,0
AL,20220329,0
AL,20220330,0
AL,20220331,0
AL,20220401,0
AL,20220402,0
AL,20220403,0
AL,20220404,0
AL,20220405,0
AL,20220406,0
AL,20220407,0
AL,20220408,0
AL,20220409,0
AL,20220410,0
AL,20220411,0
AL,20220412,0
AL,20220413,0
AL,20220414,0
AL,20220415,0
AL,20220416,0
AL,20220417,0
AL,20220418,0
AL,20220419,0
AL,20220420,0
AL,20220421,0
AL,20220422,0
AL,20220423,0
AL,20220424,0
AL,20220425,0
AL,20220426,0
AL,20220427,0
AL,20220428,0
AL,20220429,0
AL,20220430,0
AL,20220501,0
AL,20220502,0
AL,20220503,0
AL,20220504,0
AL,20220505,0
AL,20220506,0
AL,20220507,0
AL,20220508,0
AL,20220509,0
AL,20220510,0
AL,20220511,0
AL,20220512,0
AL,20220513,0
AL,20220514,0
AL,20220515,0
AL,20220516,0
AL,20220517,0
AL,20220518,0
AL,20220519,0
AL,20220520,0
AL,20220521,0
AL,20220522,0
AL,20220523,0
AL,20220524,0
AL,20220525,0
AL,20220526,0
AL,20220527,0
AL,20220528,0
AL,20220529,0
AL,20220530,0
AL,20220531,0
AL,20220601,0
AL,20220602,0
AL,20220603,0
AL,20220604,0
AL,20220605,0
AL,20220606,0
AL,20220607,0
AL,20220608,0
AL,20220609,0
AL,20220610,0
AL,20220611,0
AL,20220612,0
AL,20220613,0
AL,20220614,0
AL,20220615,0
AL,20220616,0
AL,20220617,0
AL,20220618,0
AL,20220619,0
AL,20220620,0
AL,20220621,0
AL,20220622,0
AL,20220623,0
AL,20220624,0
AL,20220625,0
AL,20220626,0
AL,20220627,0
AL,20220628,0
AL,20220629,0
AL,20220630,0
AL,20220701,0
AL,20220702,0
AL,20220703,0
AL,20220704,0
AL,20220705,0
AL,20220706,0
AL,20220707,0
AL,20220708,0
AL,20220709,0
AL,20220710,0
AL,20220711,0
AL,20220712,0
AL,20220713,0
AL,20220714,0
AL,20220715,0
AL,20220716,0
AL,20220717,0
AL,20220718,0
AL,20220719,0
AL,20220720,0
AL,20220721,0
AL,20220722,0
AL,20220723,0
AL,20220724,0
AL,20220725,0
AL,20220726,0
AL,20220727,0
AL,20220728,0
AL,20220729,0
AL,20220730,0
AL,20220731,0
AL,20220801,0
AL,20220802,0
AL,20220803,0
AL,20220804,0
AL,20220805,0
AL,20220806,0
AL,20220807,0
AL,20220808,0
AL,20220809,0
AL,20220810,0
AL,20220811,0
AL,20220812,0
AL,20220813,0
AL,20220814,0
AL,20220815,0
AL,20220816,0
AL,20220817,0
AL,20220818,0
AL,20220819,0
AL,20220820,0
AL,20220821,0
AL,20220822,0
AL,20220823,0
AL,20220824,0
AL,20220825,0
AL,20220826,0
AL,20220827,0
AL,20220828,0
AL,20220829,0
AL,20220830,0
AL,20220831,0
AL,20220901,0
AL,20220902,0
AL,20220903,0
AL,20220904,0
AL,20220905,0
AL,20220906,0
AL,20220907,0
AL,20220908,0
AL,20220909,0
AL,20220910,0
AL,20220911,0
AL,20220912,0
AL,20220913,0
AL,20220914,0
AL,20220915,0
AL,20220916,0
AL,20220917,0
AL,20220918,0
AL,20220919,0
AL,20220920,0
AL,20220921,0
AL,20220922,0
AL,20220923,0
AL,20220924,0
AL,20220925,0
AL,20220926,0
AL,20220927,0
AL,20220928,0
AL,20220929,0
AL,20220930,0
AL,20221001,0
AL,20221002,0
AL,20221003,0
AL,20221004,0
AL,20221005,0
AL,20221006,0
AL,20221007,0
AL,20221008,0
AL,20221009,0
AL,20221010,0
AL,20221011,0
AL,20221012,0
AL,20221013,0
AL,20221014,0
AL,20221015,0
AL,20221016,0
AL,20221017,0
AL,20221018,0
AL,20221019,0
AL,20221020,0
AL,20221021,0
AL,20221022,0
AL,20221023,0
AL,20221024,0
AL,20221025,0
AL,20221026,0
AL,20221027,0
AL,20221028,0
AL,20221029,0
AL,20221030,0
AL,20221031,0
AL,20221101,0
AL,20221102,0
AL,20221103,0
AL,20221104,0
AL,20221105,0
AL,20221106,0
AL,20221107,0
AL,20221108,0
AL,20221109,0
AL,20221110,0
AL,20221111,0
AL,20221112,0
AL,20221113,0
AL,20221114,0
AL,20221115,0
AL,20221116,0
AL,20221117,0
AL,20221118,0
AL,20221119,0
AL,20221120,0
AL,20221121,0
AL,20221122,0
AL,20221123,0
AL,20221124,0
AL,20221125,0
AL,20221126,0
AL,20221127,0
AL,20221128,0
AL,20221129,0
AL,20221130,0
AL,20221201,0
AL,20221202,0
AL,20221203,0
AL,20221204,0
AL,20221205,0
AL,20221206,0
AL,20221207,0
AL,20221208,0
AL,20221209,0
AL,20221210,0
AL,20221211,0
AL,20221212,0
AL,20221213,0
AL,20221214,0
AL,20221215,0
AL,20221216,0
AL,20221217,0
AL,20221218,0
AL,20221219,0
AL,20221220,0
AL,20221221,0
AL,20221222,0
AL,20221223,0
AL,20221224,0
AL,20221225,0
AL,20221226,0
AL,20221227,0
AL,20221228,0
AL,20221229,0
AL,20221230,0
AL,20221231,0
AR,20220101,0
AR,20220102,0
AR,20220103,0
AR,20220104,0
AR,20220105,0
AR,20220106,0
AR,20220107,0
AR,20220108,0
AR,20220109,0
AR,20220110,0
AR,20220111,0
AR,20220112,0
AR,20220113,0
AR,20220114,0
AR,20220115,0
AR,20220116,0
AR,20220117,0
AR,20220118,0
AR,20220119,0
AR,20220120,0
AR,20220121,0
AR,20220122,0
AR,20220123,0
AR,20220124,0
AR,20220125,0
AR,20220126,0
AR,20220127,0
AR,20220128,0
AR,20220129,0
AR,20220130,0
AR,20220131,0
AR,20220201,0
AR,20220202,0
AR,20220203,0
AR,20220204,0
AR,20220205,0
AR,20220206,0
AR,20220207,0
AR,20220208,0
AR,20220209,0
AR,20220210,0
AR,20220211,0
AR,20220212,0
AR,20220213,0
AR,20220214,0
AR,20220215,0
AR,20220216,0
AR,20220217,0
AR,20220218,0
AR,20220219,0
AR,20220220,0
AR,20220221,0
AR,20220222,0
AR,20220223,0
AR,20220224,0
AR,20220225,0
AR,20220226,0
AR,20220227,0
AR,20220228,0
AR,20220301,0
AR,20220302,0
AR,20220303,0
AR,20220304,0
AR,20220305,0
AR,20220306,0
AR,20220307,0
AR,20220308,0
AR,20220309,0
AR,20220310,0
AR,20220311,0
AR,20220312,0
AR,20220313,0
AR,20220314,0
AR,20220315,0
AR,20220316,0
AR,20220317,0
AR,20220318,0
AR,20220319,0
AR,20220320,0
AR,20220321,0
AR,20220322,0
AR,20220323,0
AR,20220324,0
AR,20220325,0
AR,20220326,0
AR,20220327,0
AR,20220328,0
AR,20220329,0
AR,20220330,0
AR,20220331,0
AR,20220401,0
AR,20220402,0
AR,20220403,0
AR,20220404,0
AR,20220405,0
AR,20220406,0
AR,20220407,0
AR,20220408,0
AR,20220409,0
AR,20220410,0
AR,20220411,0
AR,20220412,0
AR,20220413,0
AR,20220414,0
